SPAN 1:	ARIES 1-15: 	THE SPAN OF REALIZATION 
1 (1°)	A WOMEN HAS RISEN FROM THE OCEAN; A SEAL EMBRACES HER	Potentiality of selfhood: the individual is emerging from the collective and realizes self for the first time.	When positive, the degree is an illimitability of experience of which anyone can take advantage under any or all circumstances, and when negative, a failure to find a place in life because the self cannot separate itself from its own private obsessions. 
2 (2°)	A COMEDIAN IS ENTERTAINING A GROUP OF HIS FRIENDS	Objective understanding through extracting salient elements of being. Joy of life's discovery; or escape through humour.	When positive, the degree is the power of personality through a full and completely uninhibited self-expression, and when negative, a neglect of common responsibility through idle diversions of interest.
3 (3°)	A MAN'S PROFILE SUGGESTS THE OUTLINES OF HIS COUNTRY	The individual self as an avatar of greater collective reality; as participant in the larger scheme of society or life.	When positive, the degree is man's capacity for giving full play to every ramification of the reality he has created for himself, and when negative, an unimaginative conventionality which leaves him in bondage to every current stereotype of human relations.
4 (4°)	TWO LOVERS ARE STROLLING THROUGH A SECLUDED PARK LANE	Fullness of conscious participation in life without responsibility. Closing of a cycle of activity, implying satiation.	When positive, the degree is an utterly naive assimilation of self into its world and a complete flow of all effort towards some proper end, and when negative, the indiscriminate loss of the self's real assets in pure self-indulgence.
5 (5°)	A WHITE TRIANGLE,WITH GOLDEN WINGS ON ITS UPPER SIDES	Evolution of values in the sphere of inward self, but at a stage not yet substantiated. Eagerness for a spiritual goal.	When positive, the degree is the creative transformation of everything into an expression of enduring idea and a reflection of the real vision ahead, and when negative, blissful obliviousness to all normal or everyday considerations.
6 (6°)	A BLACK SQUARE; ONE OF ITS SIDES IS ILLUMINED RED	Primal effort toward individual selfhood. First and uncontrolled interest in any given thing. Great inner restlessness.	When positive, the degree is the absolute unimpeachability of a genuine self-direction, and when negative, complete loss of self-efficacy in a surrender to frustrations.
7 (7°)	A MAN EXPRESSES HIMSELF AT ONCE IN TWO REALMS	Conscious duality by which man first really differentiates himself from the animals. Versatility in work. Self-expansion.	When positive, the degree is unlimited versatility and a special gift for divorcing the things of issue from whatever lacks immediate pertinence, and when negative, a tendency to defeat all self-competence in an unintelligent scattering of interest.
8 (8°)	A WOMAN'S HAT, WITH STREAMERS BLOWN BY THE EAST WIND	First real attempt at self-exteriorization and embodiment in consciousness. Individualizing Eastern forces are suggested.	When positive, the degree is continual self-orientation to the nascent potentialities of all life and experience, and when negative, a tendency to idle posing or an empty pretense of good will and interest.
9 (9°)	A SEER GAZES WITH CONCENTRATION INTO A CRYSTAL SPHERE	Direction from within. Taking advantage of all factors in a given situation, and knowing when to make decisions. Assurance.	When positive, the degree is consummate insight in planning the course of events or organizing them in the light of immediate convenience, and when negative, an idle curiosity and a surrender of all reality to the vagaries of the moment.
10 (10°)	A SCHOLAR CREATES NEW FORMS FOR ANCIENT SYMBOLS	Deep understanding, beyond normal means. Abstract seership,integrating the inner and the outer. Interpretative gift.	When positive,the degree is an exceptional capacity for putting every part of an individual's heritage to work, and when negative, witless distortion of values and twisted perspective in general events.
11 (11°)	THE RULER OF A COUNTRY IS BEING OFFICIALLY INTRODUCED	Fine stewardship of collective racial ideals. Good and necessary, but unimaginative conformity to standards. Idealization.	When positive, the degree is the self-sacrifice required of anybody who would become the creative representative of eternal value, and when negative, an often well-meaning but usually destructive assertiveness or vain pretense.
